".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"Amax",40773,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,9.5958,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.5958,NA
"Amax",40774,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,11.0174,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,11.0174,NA
"Amax",40775,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,8.7917,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.7917,NA
"Amax",40776,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.9194,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.9194,NA
"Amax",40777,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.2526,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.2526,NA
"Amax",40778,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,9.1638,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.1638,NA
"Amax",40779,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,7.1461,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,7.1461,NA
"Amax",40780,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.8559,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.8559,NA
"Amax",40781,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.5473,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.5473,NA
"Amax",40782,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,5.5726,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,5.5726,NA
"Amax",40783,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,5.0125,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,5.0125,NA
"Amax",40784,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,3.4518,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,3.4518,NA
"Amax",40785,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,3.8198,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,3.8198,NA
"Amax",40786,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.4518,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.4518,NA
"Amax",40787,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,3.8198,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,3.8198,NA
"Amax",40788,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,32,6.4575,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,6.4575,NA
"Amax",40789,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,4.635,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,4.635,NA
"Amax",40790,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,8.4347,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.4347,NA
"Amax",40791,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,11.3261,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,11.3261,NA
"Amax",40792,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,8.7111,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.7111,NA
"Amax",40793,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,11.6972,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,11.6972,NA
"Amax",40794,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,8.1672,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.1672,NA
"Amax",40795,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,8.7308,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.7308,NA
"Amax",40796,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,10.4732,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,10.4732,NA
"Amax",40797,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,8.7917,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,8.7917,NA
"Amax",40798,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,10.8663,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,10.8663,NA
"Amax",40799,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,9.5516,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.5516,NA
"Amax",40800,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,12.5917,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,12.5917,NA
"Amax",40801,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,12.598,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,12.598,NA
"Amax",40802,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,10.4251,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,10.4251,NA
"Amax",40803,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,12.8258,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,12.8258,NA
"Amax",40804,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,14.1935,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,14.1935,NA
"Amax",40805,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,9.2486,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.2486,NA
"Amax",40806,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,7.8717,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,7.8717,NA
"Amax",40807,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,1.1117,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,1.1117,NA
"Amax",40808,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,9.5957,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,9.5957,NA
"Amax",40809,469,722,1462,"observational",2009-01-01 06:00:00,"00:00:00",NA,183,10.3295,NA,NA,NA,"Amax",1,-78.6377,45.2901,TRUE,NA,10.3295,NA
